,shop_name,creation_date,listing_active_count,num_favorers,currency_code,is_shop_us_based,sale_message,sales_count,review_count,shop_location
315,ReelasoulStudio,2021-01,1,0,USD,True,,-99,0,None
316,DerekHouse9,2021-01,1,0,CAD,False,,-99,0,None
317,EdaLesch,2021-01,1,0,AUD,False,,-99,0,None
318,jewelrymadebytati,2021-01,2,0,USD,True,,-99,0,None
319,TimCookDesign,2021-01,1,0,USD,True,,-99,0,None
320,JupiterSkyStudio,2021-01,11,2,GBP,False,,-99,0,None
321,BeeDeeBooShop,2021-01,1,0,CAD,False,,-99,0,None
322,NOWITreasures,2021-01,1,0,USD,True,,-99,0,None
323,HuntingOfMShopFinds,2021-01,1,0,USD,True,,-99,0,None
324,HandmadebyHopeArt,2021-01,0,0,EUR,False,,-99,-99,None
325,JuanDavilaSr,2021-01,1,0,USD,True,,-99,0,None
326,JessieStricklandJrUS,2021-01,1,0,USD,True,,-99,0,None
327,CuteTumblerStore,2021-01,1,0,CAD,False,,-99,0,None
328,MystressJDesigns,2021-01,9,0,USD,True,,-99,0,None
329,thePINnaclepins,2021-01,0,0,AUD,False,,-99,0,None
330,yantaricrafts,2021-01,1,0,USD,False,"Thank you for your order! Once I send the parcel, I’ll mark the tracking number in your order. If you have any questions, please convo me. I will be glad to help you. Have a good day! Best regards, Tanya
",-99,0,None
331,WhatWonderfulWorld,2021-01,41,0,CAD,False,,-99,0,None
332,Kinderwagenketten,2021-01,1,0,EUR,False,,-99,0,None
333,MagicReaders,2021-01,1,0,USD,True,,-99,0,None
334,Rox9Art,2021-01,4,0,USD,True,,-99,0,None
335,DevShopDesgins,2021-01,2,0,USD,False,,-99,0,None
336,Esparza667Shop,2021-01,1,0,USD,True,,-99,0,None
337,LisaMcnameeCo,2021-01,1,0,CAD,False,,-99,0,None
338,ENHCustomsShop,2021-01,2,0,USD,True,,-99,0,None
339,AlwaysStrivingCo,2021-01,1,0,USD,True,,-99,0,None
340,JerseysShopBoutique,2021-01,0,0,EUR,False,,-99,0,None
341,thistleandfeatheruk,2021-01,0,0,GBP,False,,-99,0,None
342,BaZaarCreepyCreation,2021-01,2,0,USD,True,,-99,0,None
343,Drawnimals,2021-01,3,1,EUR,False,,-99,0,None
344,MrBaboos,2021-01,0,0,USD,False,,-99,-99,None
345,OddlyBeautifulEnds,2021-01,1,0,USD,True,,-99,0,None
346,theMisfitEmoprium,2021-01,1,1,USD,True,,-99,0,None
347,KuzgunStore,2021-01,0,0,GBP,False,,-99,-99,None
348,JewelrybyHLShop,2021-01,20,0,CAD,False,,-99,0,None
349,CletusArt,2021-01,1,0,USD,True,,-99,0,None
350,handmadebyRitter,2021-01,7,0,EUR,False,,-99,0,None
351,LKgoldenhome,2021-01,3,0,USD,False,,-99,0,None
352,JohnaRhode,2021-01,1,0,USD,True,,-99,0,None
353,Unifivesupplies,2021-01,7,0,USD,True,,-99,0,None
354,MiraclePrintShop,2021-01,12,1,USD,False,,-99,0,None
355,LoveandlightprintsUS,2021-01,2,1,USD,True,,-99,0,None
356,Setchellstore,2021-01,5,0,CAD,False,,-99,0,None
357,likomastore,2021-01,1,0,USD,False,,-99,0,None
358,MyFairSweets,2021-01,6,2,USD,True,,-99,0,None
359,AHuntingKnnifShop,2021-01,1,0,USD,True,,-99,0,None
360,LucaszzShop,2021-01,3,0,USD,True,,-99,0,None
361,My7448,2021-01,10,0,CAD,False,,-99,0,None
362,RowlandVeumShop,2021-01,1,0,CAD,False,,-99,0,None
363,MikePosichDesign,2021-01,3,0,EUR,False,,-99,0,None
364,JuneKellyStudio,2021-01,1,0,CAD,False,,-99,0,None
365,huckprints,2021-01,11,1,USD,True,,-99,0,None
366,ZaraBoutiqueFinds,2021-01,1,0,USD,False,,-99,0,None
367,RingsbyBrie,2021-01,1,0,NZD,False,,-99,0,None
368,KatiesCauldronx,2021-01,13,1,GBP,False,,-99,0,None
369,WildChildByKK,2021-01,69,3,USD,True,,-99,0,None
370,JENNIFERSTORYSHOP,2021-01,1,0,USD,True,,-99,0,None
371,SuranneMarriott,2021-01,1,0,CAD,False,,-99,0,None
372,TRUELSHOP,2021-01,1,0,USD,True,,-99,0,None
373,RobertFHellyer,2021-01,3,0,USD,True,,-99,0,None
374,JanetZonouzi,2021-01,1,0,GBP,False,,-99,0,None
375,SimplyLuxePrintsLDN,2021-01,1,0,GBP,False,,-99,0,None
376,KarstenSeiter,2021-01,1,0,EUR,False,,-99,0,None
377,dongdong22,2021-01,1,0,USD,False,,-99,0,None
378,NariousDesign,2021-01,1,0,AUD,False,,-99,0,None
379,SijbringJanFov,2021-01,1,0,USD,False,,-99,0,None
380,MBonlineproducts,2021-01,1,0,USD,True,,-99,0,None
381,Traceyscreations870,2021-01,4,0,USD,True,,-99,0,None
382,LoraineEdwardsGifts,2021-01,1,0,GBP,False,,-99,0,None
383,DeborahCrippsStore,2021-01,1,0,CAD,False,,-99,0,None
384,SVcollectionDisenos,2021-01,8,0,EUR,False,,-99,0,None
385,DebraDesignShopUS,2021-01,1,0,USD,True,,-99,0,None
